2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120
35,50,45,15,105,120,350,105,105,295,140,80,35,10,355,320,10,0,85,90,95
30,25,355,40,75,95,30,100,120,0,40,150,35,315,330,310,30,325,95,20,210
335,260,310,340,55,45,345,10,100,305,40,95,25,285,245,10,50,315,45,100,205
340,355,330,340,105,100,350,60,75,340,95,215,335,280,325,355,320,225,0,65,115
20,330,335,355,10,260,110,125,130,25,95,25,10,270,280,310,340,5,25,70,155
10,355,55,15,325,340,315,50,205,50,105,130,70,330,325,295,340,5,330,100,175
320,10,60,5,60,80,295,75,90,10,5,90,335,330,35,145,5,30,310,0,115
10,315,235,335,25,20,10,55,140,10,40,125,5,290,340,330,330,230,345,85,85
30,25,25,10,5,295,0,350,190,95,345,170,15,50,50,320,355,355,,,
15,275,20,5,160,165,305,185,65,55,65,70,110,115,35,320,10,50,,,
5,35,65,325,50,130,70,180,50,5,180,120,355,345,330,300,330,10,,,
345,355,95,315,300,300,315,115,250,350,55,125,215,0,85,40,25,15,,,
25,25,205,305,355,325,10,40,90,15,60,105,0,20,30,15,280,50,,,
355,5,180,295,85,80,340,15,50,330,45,235,50,335,345,110,310,325,,,
250,240,75,350,220,240,35,40,165,350,20,90,335,335,5,325,335,100,,,
355,25,290,0,265,315,290,35,150,145,350,195,345,340,30,,,,,,
20,335,15,350,5,320,30,125,130,285,105,110,355,340,75,,,,,,
330,340,275,30,65,110,320,125,130,30,205,45,,,,,,,,,
20,355,40,330,150,160,5,60,195,55,175,50,,,,,,,,,
315,335,15,280,90,235,345,80,75,355,250,140,,,,,,,,,
350,25,60,10,285,190,65,5,325,5,45,200,,,,,,,,,
355,345,0,355,60,170,50,130,170,335,225,305,,,,,,,,,
20,240,75,325,115,200,310,25,150,335,190,115,,,,,,,,,
0,355,75,355,325,30,350,120,40,,,,,,,,,,,,
345,25,300,355,105,190,25,170,65,,,,,,,,,,,,
335,325,35,30,135,215,295,75,160,,,,,,,,,,,,
0,325,335,335,35,30,,,,,,,,,,,,,,,
355,0,315,,,,,,,,,,,,,,,,,,
325,340,330,,,,,,,,,,,,,,,,,,
0,40,75,,,,,,,,,,,,,,,,,,
