"0.0 m/s","0.5 m/s","0.8 m/s","1.0 m/s","1.5 m/s","1.9 m/s","2.5 m/s","3.0 m/s","4.0 m/s"
0.089,0.642,0.692,0.528,0.517,0.889,0.684,0.44,0.952
0.296,0.538,0.475,0.196,0.67,0.63,0.488,0.546,0.922
0.161,0.422,0.251,0.482,0.583,0.75,0.577,0.902,0.848
0.322,0.815,0.426,0.431,0.905,0.656,0.815,0.761,0.992
0.26,0.405,0.809,0.51,0.616,0.583,0.851,0.978,0.929
0.449,0.514,0.368,0.752,0.834,0.943,0.435,0.789,0.263
0.023,0.186,0.473,0.721,0.918,0.88,0.982,0.856,0.826
0.776,0.754,0.329,0.698,0.663,0.674,0.978,0.806,0.895
0.207,0.315,0.403,0.835,0.579,0.835,0.807,0.962,0.87
0.425,0.819,0.646,0.426,0.585,0.634,0.781,0.929,0.978
0.541,0.858,0.787,0.36,0.718,0.869,0.554,0.552,0.452
0.32,0.527,0.758,0.432,0.328,0.456,0.47,0.279,0.135
0.482,0.726,0.653,0.865,0.703,0.564,0.505,0.864,0.866
0.093,0.447,0.918,0.298,0.826,0.528,0.511,0.604,0.576
0.072,0.895,0.645,0.375,0.82,0.445,0.669,0.323,0.483
0.262,0.425,0.068,0.132,0.373,0.561,0.626,0.724,0.485
0.128,0.77,0.531,0.684,0.312,0.531,0.283,0.771,0.706
0.198,0.421,0.256,0.809,0.595,0.712,0.832,0.969,0.969
0.504,0.706,0.873,0.355,0.364,0.055,0.975,0.273,0.892
0.233,0.617,0.501,0.461,0.43,0.548,0.847,0.207,0.024
