1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40583,40679,40590,39092,38697,38277,30190,19945,6472,46787,36206,24634,45112,32740,19373,44109,29535,15201,41278,19803,2592
40397,40454,40146,38486,38336,37971,30134,21449,7381,45979,37646,25167,44845,34117,20113,43627,31508,15984,40542,22411,3168
39488,39419,39451,37965,37827,37695,29636,22431,8049,44872,38447,25698,43022,35879,20794,42343,33671,16671,39813,24814,3873
38191,37884,38242,36671,36711,36641,28878,23965,9014,42498,39431,26040,41509,36801,21434,40883,34765,17305,38079,27464,4707
36409,36580,36811,35257,35595,34953,28449,25465,9976,39906,39793,26275,39292,38297,21737,38783,36404,18260,36540,29972,5654
34776,34602,34194,33668,33586,33731,27472,26689,10906,37215,39908,26290,36809,38376,22196,36111,37423,18938,34694,32349,6775
32528,32444,32323,31176,31735,31679,26376,27606,12040,34177,39397,26178,33245,38547,22637,33503,37973,19706,32189,34697,8300
29737,30091,29977,29200,29444,29366,25255,28422,13221,30522,38226,25729,30320,38301,22872,30332,38133,20416,30179,36642,9517
27443,27354,27051,27035,27087,27431,23886,28930,14552,27448,36649,25248,27356,37796,23115,27374,38167,21131,27345,38430,11148
24682,25099,25011,24535,24779,24919,22808,29536,15704,24080,35160,25038,24168,36306,23357,24083,37590,22010,24958,39815,13202
22212,22293,22368,22383,22541,22677,21172,29793,17053,20826,33221,24625,21168,35051,23698,20953,36483,22202,22465,40663,15018
19972,19722,20022,19844,20309,20429,20041,30048,18828,18193,30845,23829,18423,33232,23628,18428,35514,23405,19883,41374,17353
17430,17689,17572,17840,18205,18152,18344,29788,20141,15389,28474,23241,15751,31496,23619,16394,33592,23859,17569,41182,20046
15278,15316,15280,15630,15926,16171,17075,29920,21338,12985,25978,22827,13518,29190,24095,13733,31974,24439,15241,40570,22097
13138,13323,13452,13831,14005,14036,15679,29543,23042,10835,23796,22252,11329,27107,24054,11631,29751,24818,13311,39773,24559
11347,11364,11435,12092,12034,12388,14473,28772,23909,8922,21296,21386,9546,24480,23995,10005,27628,25418,11281,38631,27468
9690,9755,9639,10338,10442,10812,13123,28356,25265,7498,18948,21048,7911,22422,23676,8374,25162,25731,9417,36710,29757
8248,8287,8272,9042,8924,9310,11775,27245,26458,6066,16662,20447,6518,20186,23367,6946,22923,26078,8086,34634,32572
