1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41030,40522,40526,38783,38693,38014,30237,19998,6612,49225,40171,27750,48068,33461,17407,46714,27910,10014,41010,19746,2563
40454,40622,40161,38292,38875,37995,30301,21539,7415,48820,41271,28500,47305,35752,18469,45842,30640,10994,40793,22406,3207
39919,39573,39523,37928,38189,37505,29812,22986,8218,47031,42991,29656,45797,38227,19480,44187,33541,12106,39955,25153,3773
38467,38147,38302,36829,36959,36277,28935,24233,8989,44266,43641,30129,43411,39795,20601,42039,35695,13400,38115,27334,4584
36563,36826,36604,35431,35397,35164,28414,25469,9952,41362,43512,30627,40826,41190,21932,39872,38002,14559,36629,29970,5693
34820,34520,34312,33315,33600,33291,27679,26667,11188,38723,43573,30612,37512,41902,23012,37076,39694,15928,34904,32507,6727
32251,32866,32275,31789,31637,31512,26358,27691,12286,34960,42189,30706,34340,42016,23833,33887,40943,17503,32298,34496,8080
29822,30052,30187,29163,29875,29429,25193,28353,13555,30917,40464,30525,30816,41906,24947,30311,41390,19152,30007,36842,9558
27222,27430,27489,27100,27425,27633,23784,29102,14828,27072,38206,29682,27121,40859,25938,27533,41721,20495,27180,38328,11176
24960,24853,25154,24514,25006,25051,22436,29547,15814,23675,35555,29334,23616,39456,26408,23693,41122,22083,24570,39567,13092
22214,22518,22397,22364,22721,22904,21481,29993,17504,20444,32884,28667,20303,37849,27098,20929,40550,23606,22232,40453,15099
19925,19843,20026,20142,20305,20437,19938,30112,18921,17038,29516,27268,17385,35298,27356,17835,38860,24942,19724,41342,17329
17364,17270,17431,17722,18128,18233,18413,30047,20245,14275,26693,26358,14608,33208,27537,15269,37900,26716,17331,40867,19807
15178,15401,15305,15709,16143,16478,17011,29951,21527,11840,23629,24832,12245,30303,27866,12791,35091,27696,15168,40903,22091
12956,13470,13344,13593,13969,14424,15723,29131,22243,9710,20792,23603,10192,27426,27654,10885,33164,28600,13295,39900,24847
11242,11359,11384,11881,12231,12483,14116,28711,23888,8051,17551,22020,8343,24575,27495,8981,30769,29333,11173,38400,27525
9630,9613,10022,10422,10623,10914,13164,28021,25353,6386,15328,20460,6817,22201,27009,7505,27991,30274,9408,36931,29802
