1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43367,43342,42879,40777,40661,40569,39044,39009,38496,30223,20067,6472,52197,47016,36541,55768,34809,7611,47447,23782,3200,41130,19945,2625
42771,42635,42550,40451,40271,40388,38582,38583,38261,29877,21416,7296,50987,48401,37802,54066,39359,9618,46890,27514,4183,40478,22225,3095
41805,41458,41583,39377,39373,39480,37693,37616,37629,29507,22501,8065,49350,49393,38979,51728,43715,11857,45208,30530,5230,39826,24772,3942
39735,39799,39989,37833,38255,37991,36348,36644,36277,29100,23894,8754,46549,49094,40118,49086,47048,14716,43351,33939,6498,38399,27170,4607
38146,38554,38154,36650,36402,36391,34898,35086,35204,28337,25189,9877,43375,48414,40746,45023,50038,18061,40717,37195,7891,36650,29742,5510
35953,35829,35938,34909,34487,34657,33175,33215,33336,27279,26309,11006,39376,45997,40192,40872,51572,20938,37421,39410,9667,34706,32763,6826
33670,33173,32983,32241,32438,32324,31405,31334,31012,26294,27175,12074,35128,43690,39871,35885,52728,24553,34316,41921,11442,32560,34719,7973
30598,30709,30470,29430,29750,30160,29303,29291,29423,25056,28234,13058,31132,40598,38773,30981,52757,28254,30756,43673,13593,30029,36550,9603
28075,27889,27627,27441,27362,27610,26879,27170,26790,23875,29380,14592,26778,36880,36857,26567,51553,31965,27170,44778,15962,27405,38410,11194
24984,24947,24892,24834,24965,24612,24497,24691,24758,22469,29470,15628,22992,33118,34778,22059,49589,35252,23983,45348,18530,25031,39432,13112
22008,21945,22055,22256,22310,22504,22209,22323,22570,21405,29831,17029,19232,29397,32192,18301,46485,38188,20589,44954,21160,22224,40621,15286
19102,19457,19477,19832,19692,20132,19682,20263,20258,20017,30037,18260,16099,25502,29547,14710,42978,40204,17485,44213,23981,19670,41112,17352
16957,16623,17015,17585,17633,17563,17798,18017,18150,18340,30182,19944,13489,21621,26207,11763,38672,42488,15123,42726,26545,17349,41254,19715
14448,14509,14710,15276,15262,15475,15737,15988,16086,17011,30069,21195,10709,17789,23480,9105,34538,43157,12394,40981,29035,14946,40461,22074
12261,12369,12446,13311,13146,13271,13955,13705,13850,15664,29150,22664,8534,14851,20361,7024,29973,42923,10346,38187,31427,13055,39848,25050
10408,10427,10636,11303,11189,11489,11970,12379,12238,14524,28466,23894,6917,12077,17307,5420,25582,41627,8445,36042,33428,11201,38689,27750
8667,8702,8747,9633,9692,9589,10316,10410,10622,13026,27982,25069,5489,9585,14843,4222,21631,40612,7017,32732,35119,9425,36657,29913
7124,7185,7348,7973,8202,8149,9036,8808,8822,11957,27355,26302,4254,7708,12030,3201,17731,38538,5733,29729,37011,8084,35176,32433
6033,6082,5839,6843,6794,6806,7599,7836,7705,10738,25977,27477,3361,5804,10098,2444,14758,35351,4631,26940,38636,6663,32266,34851
4967,4905,4891,5751,5690,5671,6468,6454,6597,9725,25083,28530,2727,4579,8125,1889,11966,32682,3829,23825,38695,5706,29933,36602
