1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40870,40391,40485,39184,38641,37480,30317,20071,7055,49155,38960,26819,47419,33471,17898,46252,28714,11317,41309,19770,2579
40608,40566,40345,38938,38464,37090,29989,21701,7694,47558,41076,27391,46694,35720,18918,45022,31648,12253,40789,22132,3070
39594,39548,39173,37928,37944,36996,29639,23016,8501,46463,42034,28546,44920,37847,19765,44237,33745,13465,39865,24830,3845
38404,38655,37966,37174,37055,36261,29291,24314,9418,44511,42958,28551,43436,39242,20814,41859,36046,14483,38326,27716,4599
36812,36618,36188,35459,35581,34638,28505,25808,10210,41580,43054,29303,40765,40623,22027,39867,37621,15620,36702,30033,5459
34319,34723,34416,33446,33760,33585,27821,26674,11368,37791,42403,29731,37457,41602,22947,37174,39777,17003,34928,32064,6874
32372,32708,32101,31517,32338,31103,26403,27843,12762,34533,41428,29758,34326,41748,23858,33739,39956,18294,32402,34560,7870
29844,30370,30629,29268,30236,29612,25034,28890,13576,31089,40279,29567,30562,40980,24963,30449,40820,19613,30227,36921,9704
27298,27763,27802,27011,27796,27450,23993,29274,14792,27271,37594,29338,27108,40236,25382,26971,40968,21243,27272,38511,11183
24877,25401,25074,24334,25721,25435,22549,29735,16300,23804,35889,28414,23757,38505,26125,24232,40417,22577,25019,39886,12857
22161,22553,22662,22294,23065,23189,21185,30097,17624,20405,33082,27711,20563,37490,26546,20860,39757,23880,22229,40765,15337
19603,20142,20333,19854,20618,20912,19778,30166,18970,17022,30245,26857,17519,35077,26899,17956,38018,25039,19699,41235,17399
17356,17825,17694,17746,18628,18933,18563,29647,20568,14383,27376,25858,14851,32485,27274,15339,36526,26333,17224,41356,19708
15039,15602,15568,15418,16476,16882,16851,29642,21562,11956,24286,24935,12776,30187,26981,12844,34497,27084,15077,40509,22421
13090,13408,13375,13567,14379,14829,15341,29097,22971,9935,21322,23786,10434,27338,26814,10788,32453,28056,13148,39718,24861
11145,11350,11790,11754,12552,13207,14394,28452,23817,7980,18782,22514,8650,24881,26655,9140,29560,29117,11015,38627,27347
9553,9948,9969,9930,10836,11177,12947,27990,25240,6680,16326,21262,7012,21931,26135,7393,27268,29139,9588,37062,30079
8002,8266,8520,8744,9442,9988,11839,26921,26343,5346,13980,19752,5663,19443,25620,6138,24626,29890,8020,34543,32399
6692,6939,7244,7439,7913,8473,10641,25742,27094,4349,12000,18224,4576,16948,25099,5206,22261,29791,6682,32624,34597
5729,5829,6001,6340,6787,7178,9657,24579,27702,3444,10193,16821,3814,15214,24223,4158,19775,29825,5581,29854,36868
4694,4686,4932,5312,5624,6078,8570,23395,28684,2805,8678,15917,3041,13329,23318,3493,17424,29822,4531,26979,38352
3823,3922,4080,4554,4693,5186,7776,21861,28788,2207,7384,14896,2573,11376,22690,2778,15163,29023,3860,24838,39869
3104,3287,3479,3679,3970,4357,7035,20683,29302,1837,6214,13584,2073,9822,21642,2351,13633,28787,3041,22447,40650
2613,2683,2777,3251,3298,3693,6298,19073,29231,1436,5377,12670,1713,8404,20491,1905,11714,27510,2551,19937,41040
2186,2252,2312,2644,2900,3011,5824,17876,29196,1212,4469,11606,1385,7155,19566,1668,10061,26699,2043,17233,41014
1657,1753,1890,2221,2335,2578,5145,16370,29019,970,3744,10841,1180,6176,18562,1292,8624,25711,1716,15257,40821
1446,1457,1548,1917,2015,2232,4697,15108,28905,816,3180,10020,954,5396,17002,1083,7507,24206,1388,12988,39826
1183,1143,1270,1674,1611,1882,4380,13854,28132,696,2656,9116,889,4573,15972,945,6487,23013,1137,11359,38239
928,945,1132,1320,1421,1615,3877,12524,27092,537,2188,8412,718,3883,14925,761,5809,21583,945,9485,36828
829,834,874,1137,1136,1378,3685,11463,26442,460,1861,7740,581,3329,14008,681,4811,20397,773,8053,34483
681,698,705,979,991,1224,3355,10752,25251,460,1616,7248,517,2860,13106,598,3952,19142,645,6733,32578
593,655,644,851,881,1049,3063,9561,24086,355,1501,6686,476,2404,11854,556,3479,17609,536,5625,30042
502,533,591,793,856,923,2899,8861,23195,315,1252,6195,490,2208,11041,483,2883,15750,487,4519,27693
496,507,524,746,820,888,2842,7868,21741,281,1134,5737,410,1861,10103,425,2577,14629,422,3867,25043
434,445,492,674,682,796,2774,6942,20488,279,1017,5170,369,1637,9576,456,2224,13445,385,3085,22313
427,428,487,668,723,874,2777,6355,19278,275,915,4883,397,1445,8691,428,1918,12240,384,2656,19585
421,441,421,642,676,791,2735,5779,17935,270,793,4552,399,1298,7777,414,1698,10920,391,2016,17437
418,427,478,702,697,849,2727,5222,16532,289,776,4078,369,1153,7133,422,1490,9864,367,1666,15252
499,482,560,706,830,878,2817,4825,15245,307,729,3946,436,1099,6621,463,1329,8931,464,1376,12920
529,544,551,782,855,973,2996,4295,14126,330,721,3719,447,1046,6132,508,1154,8085,474,1147,11155
612,571,683,888,899,1051,3116,4054,12803,334,741,3619,458,1023,5619,558,1140,7409,539,884,9365
716,697,773,991,1016,1234,3355,3606,12097,416,732,3379,547,951,5102,631,985,6831,644,700,8082
887,897,892,1220,1221,1399,3548,3459,10928,448,745,3366,612,959,4853,677,1003,5969,775,614,6760
966,1063,1125,1322,1425,1608,3978,3208,9847,565,782,3187,678,965,4639,829,959,5428,955,566,5542
1253,1249,1214,1629,1684,1854,4259,3034,8937,655,938,3166,827,956,4420,917,977,4784,1187,481,4717
1475,1434,1583,1812,1976,2145,4716,2970,8117,797,997,3250,933,1022,4142,1133,934,4644,1398,406,3760
1681,1771,1848,2234,2257,2601,5235,2936,7248,979,1104,3276,1154,1069,4023,1318,952,4272,1685,411,3071
2169,2184,2128,2581,2763,3000,5815,2764,6552,1235,1241,3376,1473,1137,3980,1550,1059,3953,2016,380,2581
2692,2647,2705,3119,3259,3377,6400,2805,6037,1419,1390,3411,1688,1300,3858,1900,1054,3674,2665,368,2110
3161,3222,3356,3710,3808,4043,6982,2836,5316,1850,1724,3623,2030,1454,3870,2339,1199,3574,2956,387,1664
3881,3965,4006,4361,4612,4857,7820,2884,4929,2272,1932,3937,2645,1648,3949,2826,1218,3460,3845,446,1416
4644,4701,4750,5342,5380,5822,8575,3072,4558,2704,2284,4293,3082,1843,4030,3440,1443,3324,4704,481,1118
5697,5507,5893,6256,6088,6682,9537,3126,4234,3576,2655,4725,3801,2184,4375,4147,1492,3386,5557,558,939
6670,6708,6786,7287,7386,7867,10796,3433,3813,4316,3256,5274,4640,2584,4278,5169,1781,3260,6781,672,755
8136,8230,8237,8706,8527,9173,11890,3698,3617,5376,3891,5861,5704,2868,4686,6152,2104,3322,8087,760,678
9639,9259,9523,10081,10019,10330,13131,3963,3327,6661,4494,6644,7233,3312,5092,7641,2408,3403,9614,924,564
11417,10891,11314,11893,11552,11920,14424,4458,3213,8178,5322,6969,8620,4015,5356,9129,2761,3567,11080,1129,433
13205,13097,13029,13524,13310,13523,15498,4790,3076,9897,6421,7974,10517,4712,5772,10938,3242,3711,13265,1353,447
15147,15024,14885,15660,15347,15345,17116,5410,3032,11954,7616,9022,12430,5461,6129,12945,3913,3930,15045,1695,420
17487,17083,17268,17573,17172,17427,18378,5920,2930,14227,8769,10009,14966,6480,6882,15512,4436,4189,17543,2068,390
19806,19410,19605,19979,19253,19501,19523,6633,2968,16986,10252,10884,17614,7700,7211,17992,5299,4274,19602,2583,390
