,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
BWS-0.02-40-0.00125.csv,-97.45148380325043,-112.0954347297405,-120.61190062004628,-233.7757476773156,-278.4309610240205,-298.8387279223627,-94.46547351000578,-105.64722654473744,-103.73874935609113,-85.08325563819584,-102.23325054776807,-91.81840076046112,-63.66656579724233,-64.09150030874996,-63.63354921939027,-58.599582100335105,-52.26133290022285,-58.64151586745927,-30.834652946217844,-29.373953923876336,-30.848807154005627,-2176.142072351495,1.0025789981762043
BWS-0.02-52-0.00020833333333333335.csv,-97.21667917249374,-109.55259669923728,-120.08180913714472,-232.93560971167636,-279.99365417553014,-300.96269859120343,-94.47325669808023,-103.62456882850928,-102.29884554158866,-85.08441727087882,-102.24039404826303,-91.83567971116726,-63.71162952500142,-64.02058156709113,-63.64091766035731,-58.55317849208184,-52.217571428040884,-58.745280865819495,-30.84758610822111,-29.336779473934676,-30.78663108910923,-2172.1603657954297,1.000744570442496
BWS-0.02-51-0.0020833333333333333.csv,-98.16517165644115,-112.80869916339475,-121.36628227307479,-234.82856072978493,-277.4092949773616,-298.487873457475,-94.50353529065187,-105.89909713524273,-104.27745001257294,-85.08791956395086,-102.24089657098715,-91.82732008392654,-63.65978406386749,-64.12090998787428,-63.64825835193018,-58.53570128151304,-52.3215211540671,-58.608859503451896,-30.841274246996868,-29.40908643750768,-30.929376688752807,-2178.9768726308253,1.003885030195065
BWS-0.02-57-0.0005208333333333333.csv,-97.59095397446295,-110.70512585445172,-120.09869991087965,-233.67312524539142,-278.411162549965,-299.19390643045796,-94.46991301018939,-104.11246765599228,-102.4931945557186,-85.0834884299438,-102.23865448666436,-91.83578064763347,-63.71388785078252,-64.0158601610222,-63.643871598617025,-58.5492061060284,-52.21442774851205,-58.753469060017736,-30.852363781872118,-29.350970671271963,-30.781308999070337,-2171.7818387289453,1.000570177744556
BWS-0.02-51-0.0007291666666666667.csv,-97.56156743562379,-111.13514205755703,-120.08383027129987,-233.80711131872235,-278.37325855124277,-298.9315246590538,-94.47480089904059,-104.71598838423134,-102.98125256184524,-85.08338298437877,-102.23363149709904,-91.83075748712386,-63.69760218082842,-64.02486249777397,-63.643251357109804,-58.57243947598328,-52.2325634003529,-58.71859959036174,-30.83103851039578,-29.346801370392306,-30.799666105408598,-2173.0790725958254,1.0011678314764427
BWS-0.02-36-0.0016666666666666668.csv,-97.51535779671009,-112.51238051324233,-120.77605793941008,-233.84914190202383,-278.35840990976214,-298.88040733349465,-94.5070241785575,-106.06144479953387,-104.2187417930576,-85.07697032550345,-102.219108694522,-91.80946787089331,-63.638175198050746,-64.16167227755163,-63.61875253215339,-58.61179441795659,-52.33789754048761,-58.56615231296289,-30.84417704993143,-29.396967737666778,-30.926422793331803,-2177.8865249168034,1.0033826917987458
BWS-0.02-54-0.0011458333333333333.csv,-97.95916771877121,-111.91610025613488,-120.67547580698229,-234.28358173823023,-277.79360521891346,-298.52605136761855,-94.43764696934309,-105.18822223346407,-103.46641330065373,-85.08349690787314,-102.23592370712298,-91.83588641579806,-63.734173341625386,-64.05352228613903,-63.64243809252764,-58.545838010919624,-52.24459789358933,-58.69877614902867,-30.83754964410462,-29.348763902850823,-30.828282034245646,-2175.3355129959364,1.0022074050339462
BWS-0.02-44-0.0010416666666666667.csv,-97.5436375571029,-111.73595964853618,-120.36053755961356,-233.74213412273463,-278.40334577652425,-298.857737850699,-94.51086838207398,-105.3053195638909,-103.36851522126122,-85.07995403532651,-102.23906961268243,-91.8271636125694,-63.649194517481,-64.07538161478169,-63.62987436159111,-58.56212756693554,-52.22758547209231,-58.69977220839774,-30.841464342176664,-29.353339177209914,-30.849540033161734,-2174.862522236843,1.001989491595562
BWS-0.02-50-0.0010416666666666667.csv,-97.75364381473386,-111.65908739043067,-120.44917814276918,-234.1026143189679,-278.00682447156396,-298.7450049759893,-94.43031304807283,-105.185239707762,-103.31700127425621,-85.08407337858898,-102.23905430794287,-91.83050602239463,-63.68500078484674,-64.0467506610283,-63.61838537948812,-58.586846754443556,-52.235673483195214,-58.705933448803734,-30.832495582477513,-29.344859599807073,-30.816919233651305,-2174.6754057812136,1.0019032844351885
BWS-0.02-59-0.00125.csv,-98.15238505710855,-112.09615538632215,-120.78117097795233,-234.59773693410838,-277.58962785272536,-298.43219395633054,-94.42493131704053,-105.08644669974329,-103.50960480193424,-85.08350932349478,-102.23894322253678,-91.83665093646655,-63.67722026851759,-64.03204306248348,-63.65239340877286,-58.5796168692255,-52.24680342413566,-58.723401663361116,-30.831681524376638,-29.36432982967277,-30.82472343626572,-2175.761569952575,1.0024036954150661
