,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
BWS-0.02-0.006363636363636364.csv,-99.01921774614301,-114.38167754357168,-122.88103233996713,-236.1385589335006,-276.8193496900032,-298.59264246423817,-94.41702941362904,-106.95111117848141,-105.83770578651254,-85.02441715545913,-101.90734506854838,-91.62453081519186,-63.46736487303291,-64.41794548945725,-64.01542259510364,-58.4663788076171,-52.90214679375138,-58.650226770814236,-30.9021974791969,-29.70767163853088,-31.398269177085588,-2187.5222417598357,-16.77575808874144
BWS-0.02-0.0038383838383838384.csv,-98.73835224373818,-113.82339521568187,-122.2135483556869,-235.7123935122079,-277.008781996201,-298.5474054107759,-94.383474601695,-106.39209127794611,-105.2309995720016,-85.05149874865066,-102.05042745279249,-91.80845068128177,-63.526821028365646,-64.2166589614175,-63.78511843304466,-58.51954563486998,-52.55998495246246,-58.55342213122953,-30.86219057444782,-29.52017444557353,-31.126744865194894,-2183.6314800952646,-12.884996424170367
BWS-0.02-0.00101010101010101.csv,-97.76222549839243,-111.71174346523111,-120.49890567550325,-234.26822812093317,-277.85821860818993,-298.5282651354137,-94.48654461529348,-104.94142905312825,-103.27495517478877,-85.05719680070335,-102.08257601334948,-91.82735051586566,-63.580712206940895,-63.99630986658982,-63.68532639625954,-58.563455512558406,-52.17730993876212,-58.73177471436353,-30.83887755535349,-29.353590788088813,-30.81017354921931,-2174.0351692049285,-3.2886855338342684
BWS-0.02-0.000505050505050505.csv,-97.41805550032778,-110.56810885566873,-120.10913663712849,-233.55953599091092,-278.8170373183653,-299.17164749085384,-94.4919454386823,-104.18942493467252,-102.54218589889251,-85.05938259808447,-102.08315164889072,-91.8266129825731,-63.579536337234345,-63.97489640187327,-63.700656889621264,-58.57571262539145,-52.17515511325268,-58.73052582254659,-30.845904621750808,-29.344853906543968,-30.782824928622286,-2171.5462919418874,-0.7998082707931644
BWS-0.02-0.0019191919191919192.csv,-98.16271396141713,-112.70766098584306,-121.35122240441645,-234.836266363605,-277.4315343147268,-298.33613351325187,-94.45701906969376,-105.68820696436131,-104.15836743700406,-85.05058349639759,-102.0741471730556,-91.82503999895454,-63.54551450932621,-64.05628921046167,-63.70608525146951,-58.56958651600288,-52.26699347086037,-58.664955099695895,-30.85735151348203,-29.40381188625986,-30.920033112875952,-2178.0695162531615,-7.323032582067299
BWS-0.02-0.006161616161616161.csv,-98.98217330570694,-114.30184427425526,-122.8866479088624,-236.1444838166373,-276.96004987507706,-298.6915951210329,-94.48097159673301,-106.83919682839657,-105.8175530968096,-85.03278277345339,-101.90872396339354,-91.66223184764995,-63.49181020184469,-64.40162106864217,-63.94798386875333,-58.47375515064814,-52.89279624091904,-58.66769857209991,-30.908356671101984,-29.686404611680175,-31.350404944385055,-2187.529085738083,-16.782602066988602
BWS-0.02-0.002121212121212121.csv,-98.27914978085897,-112.86796110685924,-121.51752368614252,-234.9607988042542,-277.49471751348165,-298.5323967436418,-94.49375206709115,-105.79336733057593,-104.29447312212926,-85.06133517111157,-102.08644120356047,-91.82293261030493,-63.55402218524104,-64.05957052027341,-63.70535881621853,-58.584824036339455,-52.30269622399548,-58.6344162147008,-30.8481414704464,-29.423722989930262,-30.917447109838385,-2179.2350487069957,-8.488565035901502
BWS-0.02-0.00202020202020202.csv,-98.23603127567947,-112.68128682714692,-121.30628292636338,-234.99124473985214,-277.3568496763129,-298.3971371237553,-94.46177024236908,-105.80690045836245,-104.29488676597093,-85.05828355758972,-102.08123925000405,-91.82279492686597,-63.53828187312608,-64.06761104394545,-63.694896471493315,-58.54459813455252,-52.291971576168706,-58.61026433944253,-30.85201387085606,-29.412960200203276,-30.929464161971243,-2178.4367694420307,-7.690285770936498
BWS-0.02-0.005555555555555556.csv,-98.87624387573534,-114.17128662027218,-122.75025910795763,-235.978711275996,-276.90680249435286,-298.6043315513617,-94.38728754237542,-106.7958034873915,-105.66934782999347,-85.06686198774227,-102.00342341458368,-91.74422219785357,-63.5115367712384,-64.40594177993245,-63.92318030738757,-58.44566871497101,-52.8154835085718,-58.609956559457004,-30.89915980147018,-29.626400062208802,-31.301795278185217,-2186.4937041690373,-15.74722049794309
BWS-0.02-0.009393939393939394.csv,-99.23140883064663,-114.85371802358455,-123.35828230560624,-236.43443153894103,-277.0292105915123,-298.97876603107903,-94.47903456729594,-107.19403506694606,-106.35442217023135,-85.01205572415171,-101.43457615744217,-91.39365010420266,-63.469481104376484,-64.66339463532336,-64.30794218009238,-58.44190146846468,-53.261142930423034,-58.84434082910307,-30.954008126877593,-29.82897942724933,-31.606672303551505,-2191.131454117101,-20.38497044600672
BWS-0.02-0.0012121212121212121.csv,-97.86212277667504,-111.86741871641512,-120.73110794367408,-234.40848102881813,-277.7192800254796,-298.51052244747024,-94.42426084016817,-105.2014306265341,-103.49027800349522,-85.05795195205998,-102.07882063288802,-91.8280934421456,-63.59639031578613,-64.0247745611851,-63.68228608485358,-58.57290545657235,-52.20467217789643,-58.6754675116277,-30.85294807906192,-29.361633353725203,-30.829585683043284,-2174.980431659575,-4.23394798848085
BWS-0.02-0.00797979797979798.csv,-99.18971844592474,-114.547938993978,-123.20794613406852,-236.3893515276399,-276.99863338656314,-298.81364293774504,-94.50011818492844,-107.1337413590064,-106.07765865762646,-85.04627331967676,-101.69881427378029,-91.55932523378559,-63.45998669927119,-64.50802005144928,-64.20413353183655,-58.493755255826,-53.11402807371143,-58.77298733619021,-30.94645353625757,-29.791823322561697,-31.535097050498948,-2189.989447312326,-19.242963641231654
BWS-0.02-0.0013131313131313131.csv,-97.93583407857196,-112.12054163246162,-120.81283127471484,-234.49715673151883,-277.7564573319947,-298.4059738153692,-94.42384418194035,-105.18738149716751,-103.53521964748072,-85.05405870261676,-102.08432140837931,-91.82527380963222,-63.57355097907341,-64.00328969632946,-63.69604904719087,-58.56818659647402,-52.20678081523366,-58.6606710077665,-30.856832552103466,-29.358898872054134,-30.83706645322188,-2175.4002201312946,-4.6537364602004345
BWS-0.02-0.008181818181818182.csv,-99.15601019991223,-114.47322034620856,-123.20866977458341,-236.35866039261077,-276.900013657093,-298.8119873121016,-94.41182978159685,-107.10599017202718,-106.19771623562139,-85.03137893946595,-101.60122803616986,-91.50780371037325,-63.48431711943086,-64.56671107177154,-64.15714032689804,-58.49166194970003,-53.115946814259054,-58.77695526453177,-30.9426114426545,-29.80186564481784,-31.525970477499243,-2189.6276886693277,-18.881204998233443
