,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
NWS-63-0.5.csv,-97.60699148828351,-108.256041708469,-122.56586073673877,-232.35809575656697,-283.33046106332665,-314.13938346906986,-94.3304604416089,-102.74571426254963,-102.48355095301902,-85.10278169248512,-101.92875468664519,-91.83529835874486,-63.667977470631605,-63.98382937002205,-63.65802987010248,-58.601906225250865,-52.235297647552514,-58.74709440521732,-30.878779426261833,-29.353803810111973,-30.772687378894084,-2188.5828002215517,-0.7469068699570016
NWS-43-0.5.csv,-96.82350881771242,-108.67454342840932,-121.79043992666854,-232.34677230956095,-283.9615325438291,-313.16542122039255,-94.52937226758351,-103.59540154505346,-102.61188170246342,-85.10233289092929,-101.92411307364881,-91.83910967371091,-63.66451439477551,-64.02758784058436,-63.660795308028696,-58.59788435861189,-52.2250759505212,-58.718594527666305,-30.86170633920314,-29.350387454145782,-30.790782187748317,-2188.2617577612477,-0.42586440965305883
NWS-20-0.5.csv,-96.05731291539047,-110.4335369748008,-120.84210088567293,-232.33895134880632,-285.4575824664982,-313.1141799511084,-94.96016661006003,-105.92611491983905,-104.02039311931568,-85.08950416946622,-101.91419366412677,-91.8484349628852,-63.49173004645421,-64.45003530620014,-63.635530765096526,-58.62343141246847,-52.26664341425792,-58.599515256896666,-30.839477903178608,-29.434612284927933,-30.91198923934244,-2194.2554376167927,-6.419544265198056
NWS-25-0.5.csv,-96.15828549628309,-109.81114277987545,-120.86918162021932,-232.3435792897239,-285.015620972215,-313.0153372599732,-94.8874570371812,-105.13759383993299,-103.40007757827142,-85.09124637027651,-101.9157949827525,-91.82349924174055,-63.558961673805435,-64.25092276830513,-63.667626322809035,-58.61207155612414,-52.23906010469555,-58.657419521004016,-30.842504526970764,-29.38271915257485,-30.86630640494401,-2191.5464084996784,-3.7105151480836867
NWS-37-0.5.csv,-96.57250279950966,-109.01883931696615,-121.35738494106606,-232.33226807298462,-284.29531909752626,-312.9823379323719,-94.67782409337502,-104.013214280071,-102.72464624205516,-85.10617076823843,-101.92899803083847,-91.83819587748927,-63.652206744842005,-64.05687141816294,-63.655741473946165,-58.618803851613684,-52.221731708112436,-58.68618634145737,-30.86123867131971,-29.35441830514561,-30.81198677418734,-2188.7668867412794,-0.9309933896847724
NWS-55-0.5.csv,-97.27945462290236,-108.40200606586413,-122.26853345699972,-232.34745995828064,-283.4592249164846,-313.5878232099787,-94.39095095428328,-103.00128876351471,-102.45223676890507,-85.10331519764507,-101.92619894613169,-91.83510295602449,-63.664656018719484,-63.99091159618028,-63.65882709234157,-58.601285888247496,-52.2345005726245,-58.73906174634076,-30.877273535378084,-29.3506208081962,-30.771413392487904,-2187.942146467531,-0.10625311593639708
NWS-86-0.5.csv,-98.36862955005518,-108.16671639009517,-123.74499340765823,-232.4572536930837,-282.8765780986566,-315.69960186967694,-94.34333707062518,-102.21062286019647,-102.43343666764876,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.66860919517328,-63.9833300765521,-63.6579609837876,-58.60457363358018,-52.23600550052378,-58.745572928498,-30.873113018358417,-29.358228880227784,-30.767746527477076,-2191.0632689588692,-3.2273756072745527
NWS-4-0.5.csv,-95.74360372615907,-114.24818218578089,-124.54083889839023,-232.33921248864988,-287.0460654255581,-315.159719583259,-95.35184338580831,-110.56013298304947,-110.30151725327954,-84.86579832780947,-101.10818190730029,-91.21968258061506,-63.17127257050297,-67.45421025040118,-64.51757201949013,-58.7360638136301,-53.844291965196476,-58.93018331902954,-30.788767718157274,-29.942206516133638,-31.921497079139343,-2221.7908439973403,-33.95495064574561
NWS-45-0.5.csv,-96.90274246348213,-108.70559732903868,-121.8422552478322,-232.3656570185015,-283.87994904693664,-313.2714935193327,-94.49251561464473,-103.45720288266357,-102.61926523912429,-85.10359550718924,-101.9242055688466,-91.8358950089952,-63.668272549908885,-64.01898594330981,-63.66266459605896,-58.59407416641719,-52.22400677896231,-58.72192871276851,-30.860856877222567,-29.343749799409654,-30.79002136630693,-2188.284935236952,-0.4490418853574738
NWS-53-0.5.csv,-97.18561323800569,-108.46889451790135,-122.13996360499381,-232.34826991015711,-283.50315715677607,-313.4934289605017,-94.38512176255097,-103.07487470394373,-102.48532995941582,-85.10363973874773,-101.92596446698944,-91.83478667938309,-63.66652227931209,-63.99550566332215,-63.659799885118865,-58.592948375103134,-52.23340375104409,-58.740431439026764,-30.878469148398047,-29.344010660602258,-30.77575745030132,-2187.8358933515947,0.0
