,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
NWS-15-0.5.csv,-95.87231360069347,-111.1858397808388,-121.2411977742386,-232.314281936177,-285.9230112906819,-313.4125198828854,-95.03524324724133,-106.91645202756368,-104.97383878031704,-85.1025262818658,-101.94851957843174,-91.79402362269957,-63.42766356790353,-64.78401724645587,-63.54631205231244,-58.69738607282096,-52.37230815546298,-58.50860363580573,-30.814565327156586,-29.473629174051823,-31.04108870325974,-2198.3853417388646,-10.549448387269877
NWS-11-0.5.csv,-95.82757975264612,-112.12505397982099,-121.71264037152912,-232.34741391585777,-286.1845983069864,-313.85759554163974,-95.19345955777227,-107.94924989359458,-106.16685117662479,-85.09584320192405,-102.03665849631368,-91.80498949646541,-63.38527126135334,-65.32731280035071,-63.58983144263596,-58.72760925870968,-52.610412402612425,-58.409090641500576,-30.778754854919896,-29.521929701869645,-31.195958539400337,-2203.8481045945277,-16.012211242933063
NWS-62-0.5.csv,-97.55547402877906,-108.23813140424535,-122.56818505915041,-232.34710131945832,-283.3745060227172,-314.047069250172,-94.3209509115193,-102.77916626529901,-102.46631864549292,-85.10278193642048,-101.92923929789914,-91.83533217466733,-63.672603540452585,-63.98304031132603,-63.65648922955743,-58.60118671988122,-52.236343769255356,-58.74476875083059,-30.878412806314664,-29.351877297229493,-30.77221257302783,-2188.461191313696,-0.6252979621012855
NWS-42-0.5.csv,-96.79263903191051,-108.72139762122671,-121.72810351561225,-232.34750770233603,-284.02719649872296,-313.13787378686294,-94.55587504251712,-103.65641367567494,-102.626070830508,-85.10210300571445,-101.92615479037018,-91.83968427401946,-63.66913295852912,-64.02853996492397,-63.66502262573383,-58.59593772264712,-52.23013157962897,-58.71871299881272,-30.863906362958165,-29.35214327131135,-30.792621034441343,-2188.377168294462,-0.5412749428674033
NWS-25-0.5.csv,-96.15828549628309,-109.81114277987545,-120.86918162021932,-232.3435792897239,-285.015620972215,-313.0153372599732,-94.8874570371812,-105.137593839933,-103.40007757827142,-85.09124637027651,-101.9157949827525,-91.82349924174054,-63.55896167380543,-64.25092276830513,-63.66762632280904,-58.61207155612414,-52.23906010469555,-58.657419521004016,-30.842504526970764,-29.38271915257485,-30.866306404944012,-2191.5464084996784,-3.7105151480836867
NWS-1-0.5.csv,-95.8065991054813,-115.92033634435454,-127.68850778416996,-232.32991402425571,-287.6062572116044,-316.32586789159666,-95.41217496455708,-112.91305961420814,-114.49048660447303,-84.84790445943926,-98.63806383873379,-91.68710953181223,-62.92490863475795,-69.60071951526335,-67.22547032464502,-58.6120878971462,-55.49842124804297,-60.64304558731715,-30.886355670014122,-30.537516278713078,-32.82453289279296,-2242.419339423378,-54.58344607178333
NWS-63-0.5.csv,-97.60699148828351,-108.256041708469,-122.56586073673877,-232.35809575656694,-283.33046106332665,-314.13938346906986,-94.33046044160892,-102.74571426254964,-102.483550953019,-85.10278169248512,-101.92875468664519,-91.83529835874486,-63.667977470631605,-63.983829370022036,-63.65802987010248,-58.601906225250865,-52.235297647552514,-58.74709440521732,-30.878779426261833,-29.353803810111973,-30.772687378894087,-2188.5828002215517,-0.7469068699570016
NWS-52-0.5.csv,-97.15355220788018,-108.50071125986601,-122.0930303866188,-232.36818784075285,-283.5483051258032,-313.4913392044631,-94.40773058590196,-103.11340568690981,-102.48931863358752,-85.10374875358701,-101.92618937006326,-91.83489903458418,-63.667185456174316,-63.99789478550658,-63.65846656714428,-58.5902111786805,-52.230773526235176,-58.73334768042718,-30.875253781153233,-29.34312705329983,-30.77554447998721,-2187.902222598626,-0.06632924703126264
NWS-41-0.5.csv,-96.74804095561815,-108.77570803694938,-121.69253461500698,-232.3439675221253,-284.10122977904894,-313.0727941582645,-94.58234936915126,-103.73214388125831,-102.6398371534729,-85.10391734710304,-101.92633223155846,-91.83866676592068,-63.670586568164644,-64.0380111435767,-63.66442303178214,-58.60457985848665,-52.22853379548985,-58.71907941744763,-30.862085033199218,-29.354794641735804,-30.797118001959806,-2188.49673330732,-0.6608399557253506
NWS-94-0.5.csv,-98.60426292460922,-108.1062919016149,-123.87830249337915,-232.48156153865804,-282.6689548883167,-316.3763063495638,-94.34086759430573,-102.09143743438952,-102.42994267335544,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.668971491197226,-63.983454361019604,-63.65881288342689,-58.60427515411601,-52.23712718649593,-58.747619250601126,-30.872689573478876,-29.356363826745657,-30.76833223697647,-2191.742532369245,-3.9066390176503774
NWS-75-0.5.csv,-98.01578528543868,-108.27697279185047,-123.30992443828907,-232.43263634035043,-282.9961254230372,-314.96259248913486,-94.31259744456261,-102.4347652643396,-102.46265626044567,-85.102654512089,-101.92875024556412,-91.83547997830767,-63.667901132289046,-63.98477735927183,-63.6568279061629,-58.60295082290016,-52.23415565279781,-58.74489973339739,-30.876952324273596,-29.35720239707107,-30.769274000647172,-2189.96588180222,-2.1299884506252056
NWS-18-0.5.csv,-95.97741384581995,-110.63393913344635,-120.94743056210326,-232.33328645572234,-285.61781879051864,-313.1757661555069,-95.02589357416424,-106.33071762538226,-104.34885523998904,-85.09533675666242,-101.91890314803723,-91.85176624952196,-63.45678205435409,-64.57614725013104,-63.61645665729533,-58.63969119329877,-52.31257826428291,-58.56937201705205,-30.810412385224126,-29.453562827477946,-30.940984612316893,-2195.633114798308,-7.797221446713138
NWS-67-0.5.csv,-97.76048743466627,-108.27991172469778,-122.82157412394345,-232.39643304212558,-283.1307492418018,-314.45941853346994,-94.32243704247317,-102.62104428202406,-102.47818204153,-85.10273843202904,-101.92881172227698,-91.83538188604865,-63.66906213290482,-63.984905669338296,-63.65741742768353,-58.60277678987466,-52.23387228941195,-58.748441354901075,-30.876958672350856,-29.355930766312262,-30.771885430461296,-2189.038420040326,-1.2025266887312682
NWS-21-0.5.csv,-96.05385072843734,-110.30307063672758,-120.82391449614693,-232.34399541896835,-285.42631169889023,-313.02526154125917,-94.94257786114994,-105.79052670038845,-103.83424007598936,-85.08783062396616,-101.92147247447008,-91.84073222400843,-63.50061827983971,-64.39100511925133,-63.62799311122647,-58.624336537566364,-52.245232965266,-58.619883259109734,-30.834122584415596,-29.41270979848904,-30.908735639052985,-2193.5584217746195,-5.722528423024869
NWS-88-0.5.csv,-98.429366473705,-108.13966853984272,-123.8109650529059,-232.4503177689839,-282.8072156597739,-315.8126284096715,-94.34256361193735,-102.15843879924495,-102.40849121309901,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.66885413060667,-63.983312636137605,-63.65825100550729,-58.60380960943828,-52.23692245033652,-58.74616187110806,-30.872645806063126,-29.358137125135308,-30.76783889451179,-2191.122547665004,-3.2866543134091444
NWS-19-0.5.csv,-96.04412506876515,-110.50761475733374,-120.87789671633294,-232.33309248890944,-285.53769778089196,-313.17519825667875,-94.9977352602305,-106.16097996426657,-104.18020152392928,-85.10214439417727,-101.90398853376166,-91.8437203649313,-63.47172183183876,-64.51657865600289,-63.622537323327805,-58.599382636181886,-52.292495105610506,-58.58952194273793,-30.825673904100576,-29.438876163229885,-30.908972269799687,-2194.9301549430384,-7.094261591443683
NWS-16-0.5.csv,-95.902443998129,-110.99821081942702,-121.13828050928483,-232.3185392210949,-285.85604617730945,-313.35210789239227,-95.03698337233375,-106.71778920409469,-104.73005084595889,-85.094964629047,-101.92182514203095,-91.85340639822552,-63.419362496701154,-64.69460335708038,-63.564786209877184,-58.67493054239008,-52.33855340519398,-58.52096365610364,-30.822017471969254,-29.463092689714777,-30.99121478471917,-2197.410172823077,-9.574279471482441
NWS-48-0.5.csv,-96.9985784731291,-108.57991709532155,-121.97197879374536,-232.3628721606382,-283.64046649336797,-313.3464994641704,-94.4565288574532,-103.27036938804247,-102.52588420338759,-85.10421219257347,-101.92657163053669,-91.83458772512802,-63.671058232561,-64.01080442008102,-63.65829837690885,-58.60009305660526,-52.227977285042805,-58.725233750346135,-30.862554539003916,-29.343533405161427,-30.78472581270511,-2187.9027453559097,-0.0668520043150238
NWS-74-0.5.csv,-97.98193685860275,-108.27638635261953,-123.25952105435564,-232.42186980391995,-283.0310223355286,-314.89751549113123,-94.3168061251733,-102.44790072469651,-102.44698076591747,-85.102654512089,-101.9286995234074,-91.83544655082024,-63.66751981641718,-63.98491885912552,-63.657022054352815,-58.60217301779473,-52.2342671552287,-58.745698716250416,-30.876437420280062,-29.35595263963266,-30.769110055309596,-2189.8398398326535,-2.003946481058847
NWS-78-0.5.csv,-98.1017379094013,-108.26047208628043,-123.50226447632741,-232.43428686884667,-282.93592299603813,-315.2649560627563,-94.325415879857,-102.36947872506283,-102.44839347993222,-85.10265262571474,-101.92875024556412,-91.83547997830767,-63.66875350013814,-63.983592928458236,-63.65742840721872,-58.603845443494045,-52.23421053750075,-58.7454061845677,-30.875711412920385,-29.357319082895877,-30.768544411872,-2190.4046232431547,-2.5687298915599968
NWS-58-0.5.csv,-97.40138521512934,-108.3694835339635,-122.37822644346329,-232.33961070636585,-283.48998012906685,-313.8108765359709,-94.3795730967801,-102.91420408943108,-102.48394005563009,-85.10309907861802,-101.92728721273926,-91.83534834334314,-63.666202555093186,-63.987101588813665,-63.658781356043384,-58.59952879638697,-52.23701996745948,-58.743280845057,-30.877369521385866,-29.349739998336023,-30.768736361787763,-2188.320775430865,-0.48488207927039184
NWS-92-0.5.csv,-98.54930610492701,-108.11373947290092,-123.83741517310702,-232.46033950439136,-282.73459532766293,-316.21087977055817,-94.33853831215927,-102.10413893842606,-102.41231005015301,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.6691431716732,-63.983524484876895,-63.658889051100296,-58.60442992063458,-52.23707043224433,-58.747285570792954,-30.87298859665523,-29.357016820997682,-30.767799955466792,-2191.5263692657227,-3.690475914128001
NWS-65-0.5.csv,-97.70250995108465,-108.27122754820161,-122.67562017857807,-232.3804510326129,-283.25928213896697,-314.2249156952491,-94.31825715599402,-102.67947043325485,-102.4584312812032,-85.10278169248512,-101.92873266933125,-91.83538188604865,-63.667741412491196,-63.9839866970501,-63.65796028133355,-58.603329273725414,-52.23629950630213,-58.752496725545015,-30.873863353199784,-29.356540444230774,-30.774233595058007,-2188.7435129519467,-0.9076196003520636
NWS-27-0.5.csv,-96.20866227273883,-109.66295699826884,-120.93135777439673,-232.33876983055674,-284.8218403656525,-312.97251099335244,-94.80090915145233,-104.86942798025552,-103.23659380725466,-85.09617371077792,-101.9197083311085,-91.83228786620354,-63.5852746287685,-64.19450829074407,-63.665613190620824,-58.645767261242895,-52.22755178637202,-58.67331579794493,-30.852966216663184,-29.357984947916307,-30.854769383241894,-2190.748950585534,-2.9130572339395258
NWS-39-0.5.csv,-96.65898290512854,-108.87623352385937,-121.42880381352317,-232.34109430449192,-284.20434362263063,-312.99534660694206,-94.64825295785616,-103.87773888437451,-102.64974125406158,-85.10619685746055,-101.92347476641167,-91.83855652588906,-63.655176683307964,-64.04731349520793,-63.66253380749507,-58.61070105752091,-52.225060195095374,-58.70622857470497,-30.856841313068337,-29.348160272177115,-30.797088215436105,-2188.457869636643,-0.6219762850482766
NWS-89-0.5.csv,-98.45606466901552,-108.15807759346377,-123.79619570845065,-232.44798190232984,-282.8044252153519,-315.9009972605917,-94.34246027039677,-102.14069119818123,-102.40836486735259,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.66891326465316,-63.98323761349096,-63.65860542021804,-58.603845414671554,-52.23694637944418,-58.74624402337372,-30.872662976640896,-29.357458172027147,-30.768062505283435,-2191.218193061932,-3.38229971033752
NWS-7-0.5.csv,-95.77401429483128,-113.18617296482631,-122.9308391750364,-232.32540996080812,-286.6478343450174,-314.46209442913636,-95.3234558900514,-109.2468957084332,-108.04863732997742,-84.8889222839538,-101.83446049791806,-91.55455773990231,-63.22797225317605,-66.22247886187101,-63.842782635878415,-58.784754673569516,-53.10919798232449,-58.54993722869425,-30.793131614567315,-29.69131464810823,-31.502774288824575,-2211.947638806906,-24.111745455311393
NWS-5-0.5.csv,-95.71908025131312,-113.78997546239772,-123.88768909816683,-232.35067070327418,-286.95369274445477,-314.88107552776415,-95.40495427509039,-110.01866117223025,-109.46726376688929,-84.8011170157164,-101.39991714079544,-91.33513700266907,-63.17978915360926,-66.98777953429314,-64.24056208611971,-58.76454372977648,-53.59494819984888,-58.71982890729947,-30.792623664726918,-29.78474697099576,-31.77440647261089,-2217.848462880042,-30.01256952844733
NWS-82-0.5.csv,-98.22359628215254,-108.22705688558662,-123.66141877483233,-232.45874036919568,-282.86428866922313,-315.4859084893287,-94.32643739305216,-102.305899048524,-102.4251873258019,-85.10265262571474,-101.92875024556412,-91.83547977384879,-63.66917498812449,-63.984014830335184,-63.657200600638866,-58.60726065439515,-52.234757862428395,-58.7454050168198,-30.87352334102496,-29.35727079022766,-30.76777550772315,-2190.7417994745415,-2.905906122946817
NWS-43-0.5.csv,-96.82350881771242,-108.67454342840935,-121.79043992666854,-232.34677230956095,-283.9615325438291,-313.16542122039255,-94.52937226758351,-103.59540154505345,-102.61188170246342,-85.10233289092929,-101.92411307364881,-91.83910967371091,-63.66451439477551,-64.02758784058436,-63.660795308028696,-58.59788435861189,-52.2250759505212,-58.718594527666305,-30.86170633920314,-29.350387454145782,-30.790782187748313,-2188.2617577612477,-0.42586440965305883
NWS-24-0.5.csv,-96.14312677146759,-109.9784625137,-120.84067729416753,-232.34551396373794,-285.15102914702027,-313.02941139651415,-94.89621123522073,-105.32531795998456,-103.42275473598058,-85.08662256529405,-101.91500857454879,-91.83300401485401,-63.536958757711226,-64.29395942377488,-63.64392645506681,-58.615136363547755,-52.253451766634164,-58.654983557326915,-30.845632394612704,-29.39700976709056,-30.874497518107134,-2192.0826961763623,-4.246802824767656
NWS-73-0.5.csv,-97.94629079508279,-108.26621453360421,-123.15449838750365,-232.42696451197398,-283.0310329801897,-314.8184626426687,-94.32484587838726,-102.46490896675886,-102.45184802391816,-85.102654512089,-101.9286995234074,-91.83544655082024,-63.66742811384363,-63.98532229318245,-63.65764231493421,-58.60134475112237,-52.23412659502411,-58.74765455320405,-30.876310685718177,-29.35580591579184,-30.76999036618059,-2189.647492895406,-1.8115995438110986
